Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions
ORD,2013.0,9155.0,9999.0,709.0,709.0
ORD,2014.0,13454.0,14355.0,739.0,831.0
OXR,2004.0,43.0,37.0,0.0,0.0
OXR,2005.0,33.0,22.0,0.0,0.0
OXR,2006.0,51.0,44.0,2.0,1.0
OXR,2007.0,21.0,17.0,1.0,0.0
OXR,2008.0,20.0,20.0,1.0,0.0
OXR,2009.0,27.0,24.0,0.0,0.0
OXR,2010.0,10.0,8.0,0.0,0.0
PBI,2004.0,416.0,416.0,80.0,26.0
PBI,2005.0,415.0,398.0,87.0,48.0
PBI,2006.0,205.0,171.0,106.0,31.0
PBI,2007.0,361.0,359.0,116.0,42.0
PBI,2008.0,255.0,238.0,118.0,44.0
PBI,2009.0,222.0,193.0,88.0,56.0
PBI,2010.0,478.0,454.0,78.0,54.0
PBI,2011.0,380.0,344.0,102.0,47.0
PBI,2012.0,218.0,201.0,58.0,54.0
PBI,2013.0,164.0,159.0,79.0,40.0
PBI,2014.0,429.0,414.0,88.0,56.0
PDX,2004.0,1038.0,1043.0,90.0,104.0
PDX,2005.0,463.0,505.0,83.0,70.0
PDX,2006.0,446.0,432.0,84.0,46.0
PDX,2007.0,442.0,478.0,87.0,44.0
PDX,2008.0,652.0,656.0,116.0,84.0
PDX,2009.0,253.0,260.0,99.0,76.0
PDX,2010.0,282.0,311.0,128.0,57.0
PDX,2011.0,269.0,282.0,82.0,60.0
PDX,2012.0,289.0,294.0,107.0,54.0
PDX,2013.0,322.0,330.0,125.0,72.0
PDX,2014.0,404.0,404.0,123.0,54.0
PHL,2004.0,2853.0,2726.0,247.0,419.0
PHL,2005.0,3268.0,3182.0,226.0,388.0
PHL,2006.0,1934.0,1799.0,260.0,357.0
PHL,2007.0,2493.0,2335.0,275.0,388.0
PHL,2008.0,1969.0,1990.0,272.0,320.0
PHL,2009.0,1732.0,1679.0,228.0,284.0
PHL,2010.0,2190.0,2191.0,172.0,224.0
PHL,2011.0,1988.0,1971.0,206.0,275.0
PHL,2012.0,1041.0,1083.0,168.0,85.0
PHL,2013.0,1083.0,1116.0,195.0,171.0
PHL,2014.0,1393.0,1474.0,200.0,165.0
PHX,2004.0,1578.0,1939.0,355.0,214.0
PHX,2005.0,1382.0,1723.0,296.0,190.0
PHX,2006.0,1952.0,2561.0,500.0,340.0
PHX,2007.0,2402.0,3121.0,467.0,253.0
PHX,2008.0,1875.0,2554.0,442.0,333.0
PHX,2009.0,1210.0,1714.0,427.0,266.0
PHX,2010.0,1446.0,1917.0,418.0,266.0
PHX,2011.0,1569.0,2085.0,377.0,187.0
PHX,2012.0,947.0,1342.0,328.0,203.0
PHX,2013.0,1006.0,1499.0,325.0,143.0
PHX,2014.0,1136.0,1535.0,325.0,255.0
PIT,2004.0,1063.0,1153.0,102.0,35.0
PIT,2005.0,1076.0,1155.0,78.0,43.0
PIT,2006.0,847.0,784.0,116.0,39.0
PIT,2007.0,1108.0,1040.0,133.0,31.0
PIT,2008.0,759.0,700.0,133.0,51.0
PIT,2009.0,419.0,341.0,88.0,65.0
PIT,2010.0,735.0,653.0,106.0,48.0
PIT,2011.0,527.0,480.0,88.0,58.0
PIT,2012.0,372.0,328.0,64.0,40.0
PIT,2013.0,472.0,376.0,65.0,41.0
PIT,2014.0,523.0,457.0,82.0,31.0
PSP,2004.0,171.0,129.0,13.0,37.0
PSP,2005.0,251.0,172.0,28.0,67.0
PSP,2006.0,142.0,122.0,31.0,23.0
PSP,2007.0,152.0,121.0,20.0,14.0
PSP,2008.0,155.0,130.0,24.0,30.0
PSP,2009.0,97.0,70.0,21.0,31.0
PSP,2010.0,154.0,119.0,27.0,54.0
PSP,2011.0,153.0,125.0,21.0,17.0
PSP,2012.0,150.0,104.0,27.0,31.0
PSP,2013.0,155.0,121.0,18.0,26.0
PSP,2014.0,198.0,154.0,25.0,17.0
PVD,2004.0,387.0,364.0,73.0,27.0
PVD,2005.0,609.0,562.0,64.0,49.0
PVD,2006.0,439.0,403.0,69.0,40.0
PVD,2007.0,625.0,601.0,77.0,29.0
PVD,2008.0,379.0,344.0,73.0,31.0
PVD,2009.0,184.0,156.0,43.0,26.0
PVD,2010.0,382.0,367.0,44.0,38.0
PVD,2011.0,421.0,392.0,37.0,26.0
PVD,2012.0,194.0,165.0,37.0,37.0
PVD,2013.0,212.0,188.0,33.0,21.0
PVD,2014.0,256.0,235.0,44.0,21.0
RDU,2004.0,1597.0,1559.0,139.0,105.0
RDU,2005.0,1235.0,1269.0,182.0,91.0
RDU,2006.0,1167.0,1156.0,178.0,131.0
RDU,2007.0,1434.0,1400.0,198.0,81.0
RDU,2008.0,1253.0,1185.0,136.0,91.0
RDU,2009.0,845.0,791.0,109.0,71.0
RDU,2010.0,1207.0,1134.0,115.0,73.0
RDU,2011.0,1020.0,923.0,99.0,63.0
RDU,2012.0,679.0,620.0,88.0,56.0
RDU,2013.0,926.0,855.0,95.0,65.0
RDU,2014.0,1156.0,1019.0,82.0,66.0
RFD,2006.0,9.0,11.0,2.0,8.0
RFD,2007.0,4.0,7.0,2.0,11.0
RFD,2008.0,5.0,2.0,0.0,5.0
RFD,2011.0,0.0,0.0,0.0,0.0
RFD,2012.0,1.0,1.0,0.0,0.0
RFD,2013.0,0.0,0.0,0.0,0.0
RSW,2004.0,270.0,230.0,48.0,56.0
RSW,2005.0,349.0,331.0,63.0,34.0
RSW,2006.0,179.0,152.0,89.0,70.0
RSW,2007.0,247.0,231.0,79.0,48.0
RSW,2008.0,250.0,220.0,79.0,67.0
RSW,2009.0,163.0,140.0,80.0,40.0
RSW,2010.0,347.0,323.0,64.0,57.0
RSW,2011.0,296.0,241.0,88.0,73.0
RSW,2012.0,189.0,165.0,48.0,43.0
RSW,2013.0,156.0,138.0,76.0,59.0
RSW,2014.0,384.0,350.0,92.0,82.0
SAN,2004.0,944.0,748.0,165.0,243.0
SAN,2005.0,926.0,768.0,137.0,202.0
SAN,2006.0,1219.0,1060.0,171.0,338.0
SAN,2007.0,1142.0,1013.0,236.0,150.0
SAN,2008.0,1251.0,1048.0,201.0,359.0
SAN,2009.0,768.0,653.0,148.0,219.0
SAN,2010.0,858.0,743.0,128.0,220.0
SAN,2011.0,1031.0,884.0,120.0,172.0
SAN,2012.0,987.0,830.0,121.0,253.0
SAN,2013.0,956.0,839.0,133.0,228.0
SAN,2014.0,1010.0,931.0,155.0,183.0
SAT,2004.0,555.0,499.0,51.0,52.0
SAT,2005.0,525.0,502.0,66.0,31.0
SAT,2006.0,474.0,410.0,94.0,44.0
SAT,2007.0,721.0,660.0,99.0,113.0
SAT,2008.0,542.0,505.0,99.0,40.0
SAT,2009.0,253.0,207.0,93.0,61.0
SAT,2010.0,316.0,292.0,77.0,72.0
SAT,2011.0,418.0,373.0,97.0,59.0
SAT,2012.0,303.0,243.0,64.0,65.0
SAT,2013.0,386.0,330.0,70.0,88.0
SAT,2014.0,458.0,389.0,80.0,84.0
SDF,2004.0,421.0,359.0,43.0,44.0
SDF,2005.0,342.0,314.0,51.0,19.0
SDF,2006.0,226.0,189.0,52.0,32.0
SDF,2007.0,440.0,399.0,46.0,12.0
SDF,2008.0,405.0,360.0,60.0,31.0
SDF,2009.0,276.0,238.0,42.0,36.0
SDF,2010.0,326.0,288.0,46.0,22.0
SDF,2011.0,259.0,241.0,35.0,39.0
SDF,2012.0,164.0,140.0,34.0,21.0
SDF,2013.0,262.0,213.0,51.0,26.0
SDF,2014.0,434.0,383.0,54.0,15.0
SEA,2004.0,1280.0,1366.0,246.0,179.0
SEA,2005.0,1006.0,1161.0,195.0,178.0
SEA,2006.0,913.0,1052.0,227.0,180.0
SEA,2007.0,1077.0,1242.0,253.0,197.0
SEA,2008.0,1142.0,1163.0,264.0,175.0
SEA,2009.0,487.0,460.0,245.0,181.0
SEA,2010.0,480.0,458.0,253.0,94.0
SEA,2011.0,509.0,509.0,203.0,127.0
SEA,2012.0,658.0,671.0,236.0,117.0
SEA,2013.0,423.0,441.0,201.0,184.0
SEA,2014.0,502.0,543.0,272.0,98.0
SFO,2004.0,1768.0,1987.0,250.0,139.0
SFO,2005.0,1644.0,1865.0,274.0,138.0
SFO,2006.0,2361.0,2530.0,238.0,129.0
SFO,2007.0,2550.0,2753.0,332.0,162.0
SFO,2008.0,2790.0,2984.0,342.0,243.0
SFO,2009.0,1631.0,1860.0,302.0,194.0
SFO,2010.0,2702.0,2934.0,365.0,352.0
SFO,2011.0,2859.0,3019.0,324.0,321.0
SFO,2012.0,4014.0,4232.0,383.0,338.0
SFO,2013.0,3318.0,3503.0,431.0,476.0
SFO,2014.0,4257.0,4493.0,441.0,375.0
SJC,2004.0,849.0,797.0,83.0,83.0
SJC,2005.0,764.0,691.0,87.0,43.0
SJC,2006.0,753.0,669.0,94.0,103.0
SJC,2007.0,737.0,678.0,108.0,57.0
SJC,2008.0,806.0,759.0,111.0,87.0
SJC,2009.0,535.0,517.0,62.0,30.0
SJC,2010.0,380.0,351.0,72.0,43.0
SJC,2011.0,489.0,450.0,60.0,71.0
SJC,2012.0,398.0,361.0,49.0,33.0
SJC,2013.0,432.0,403.0,60.0,25.0
SJC,2014.0,428.0,391.0,70.0,34.0
SJU,2004.0,330.0,289.0,55.0,28.0
SJU,2005.0,315.0,282.0,64.0,36.0
SJU,2006.0,257.0,233.0,63.0,44.0
SJU,2007.0,307.0,278.0,70.0,42.0
SJU,2008.0,238.0,197.0,78.0,29.0
SJU,2009.0,199.0,159.0,57.0,58.0
SJU,2010.0,258.0,207.0,82.0,45.0
SJU,2011.0,240.0,201.0,101.0,55.0
SJU,2012.0,174.0,141.0,62.0,41.0
SJU,2013.0,127.0,94.0,65.0,64.0
SJU,2014.0,280.0,241.0,72.0,31.0
SLC,2004.0,1547.0,1931.0,273.0,93.0
SLC,2005.0,1685.0,2222.0,337.0,115.0
SLC,2006.0,1027.0,1325.0,285.0,93.0
SLC,2007.0,1123.0,1482.0,353.0,82.0
SLC,2008.0,1089.0,1335.0,414.0,172.0
SLC,2009.0,734.0,1000.0,447.0,190.0
SLC,2010.0,1006.0,1431.0,483.0,241.0
SLC,2011.0,801.0,1145.0,387.0,163.0
SLC,2012.0,473.0,754.0,312.0,62.0
SLC,2013.0,869.0,1139.0,301.0,291.0
SLC,2014.0,573.0,801.0,278.0,103.0
SMF,2004.0,447.0,406.0,76.0,92.0
SMF,2005.0,387.0,346.0,69.0,69.0
SMF,2006.0,541.0,476.0,76.0,55.0
SMF,2007.0,551.0,494.0,100.0,53.0
SMF,2008.0,507.0,457.0,112.0,63.0
SMF,2009.0,344.0,324.0,58.0,24.0
SMF,2010.0,493.0,451.0,95.0,34.0
SMF,2011.0,538.0,506.0,74.0,59.0
SMF,2012.0,465.0,440.0,74.0,35.0
SMF,2013.0,437.0,390.0,75.0,26.0
SMF,2014.0,579.0,536.0,78.0,27.0
SNA,2004.0,632.0,583.0,104.0,107.0
SNA,2005.0,559.0,525.0,84.0,106.0
SNA,2006.0,721.0,653.0,113.0,140.0
SNA,2007.0,895.0,797.0,149.0,144.0
SNA,2008.0,726.0,653.0,117.0,128.0
SNA,2009.0,516.0,466.0,104.0,77.0
SNA,2010.0,456.0,397.0,103.0,94.0
SNA,2011.0,531.0,475.0,96.0,77.0
SNA,2012.0,496.0,423.0,82.0,98.0
SNA,2013.0,443.0,387.0,89.0,93.0
SNA,2014.0,468.0,425.0,85.0,71.0
STL,2004.0,832.0,805.0,119.0,135.0
STL,2005.0,790.0,756.0,136.0,116.0
STL,2006.0,994.0,940.0,158.0,119.0
STL,2007.0,1292.0,1256.0,138.0,144.0
STL,2008.0,1316.0,1244.0,162.0,165.0
STL,2009.0,695.0,642.0,113.0,83.0
STL,2010.0,715.0,700.0,129.0,85.0
STL,2011.0,1238.0,1135.0,140.0,150.0
STL,2012.0,502.0,477.0,107.0,100.0
STL,2013.0,765.0,708.0,116.0,114.0
STL,2014.0,1014.0,920.0,135.0,105.0
SWF,2004.0,81.0,70.0,4.0,3.0
SWF,2005.0,94.0,80.0,5.0,7.0
SWF,2006.0,39.0,37.0,3.0,4.0
SWF,2007.0,120.0,103.0,19.0,21.0
SWF,2008.0,53.0,41.0,13.0,15.0
SWF,2009.0,29.0,18.0,7.0,6.0
SWF,2010.0,67.0,54.0,5.0,12.0
SWF,2011.0,42.0,40.0,4.0,5.0
SWF,2012.0,14.0,12.0,3.0,1.0
SWF,2013.0,27.0,23.0,7.0,6.0
SWF,2014.0,17.0,11.0,3.0,11.0
TPA,2004.0,1167.0,1016.0,154.0,139.0
TPA,2005.0,771.0,746.0,212.0,103.0
TPA,2006.0,427.0,356.0,197.0,189.0
TPA,2007.0,705.0,655.0,186.0,121.0
TPA,2008.0,727.0,654.0,194.0,182.0
TPA,2009.0,349.0,307.0,201.0,102.0
TPA,2010.0,709.0,655.0,157.0,140.0
TPA,2011.0,667.0,622.0,176.0,137.0
TPA,2012.0,450.0,411.0,131.0,132.0
TPA,2013.0,326.0,301.0,152.0,118.0
TPA,2014.0,723.0,691.0,183.0,163.0
TUS,2004.0,103.0,80.0,50.0,22.0
TUS,2005.0,126.0,101.0,36.0,26.0
TUS,2006.0,206.0,174.0,63.0,46.0
TUS,2007.0,281.0,237.0,65.0,22.0
TUS,2008.0,206.0,174.0,59.0,16.0
TUS,2009.0,117.0,100.0,38.0,28.0
TUS,2010.0,144.0,110.0,42.0,35.0
TUS,2011.0,204.0,183.0,43.0,28.0
TUS,2012.0,117.0,107.0,38.0,29.0
TUS,2013.0,175.0,153.0,62.0,18.0
TUS,2014.0,178.0,155.0,55.0,39.0
